N,P,K,PointID,OC,pH,Clay,Silt,Sand
1.3,155.8,1123.0,64881666,8.4,6.97,50.0,27.0,23.0
1.0,31.2,173.9,64221650,8.7,6.92,29.0,35.0,36.0
1.7,6.7,328.1,63741606,12.3,7.35,37.0,35.0,27.0
5.6,12.2,121.6,40702664,57.3,6.84,21.0,67.0,12.0
1.3,6.8,65.9,54002332,13.0,5.09,30.0,51.0,19.0
2.5,14.7,160.9,53762196,37.7,5.3,16.0,32.0,52.0
1.4,25.9,104.1,54522208,20.3,5.31,8.0,25.0,67.0
1.9,19.4,145.5,53882194,27.0,4.96,16.0,33.0,51.0
3.2,20.8,131.3,54522214,53.2,4.7,10.0,35.0,55.0
3.4,12.8,154.0,53702212,37.4,6.22,17.0,45.0,39.0
4.8,29.2,128.7,53562216,46.3,5.4,7.0,42.0,51.0
1.0,7.8,53.2,53462246,8.2,5.62,12.0,43.0,45.0
3.1,8.5,189.6,53482214,35.4,5.32,17.0,49.0,34.0
0.4,6.7,53.1,54502194,7.4,5.26,4.0,15.0,81.0
1.2,9.8,55.1,54742186,25.5,4.46,6.0,27.0,67.0
0.7,29.3,55.2,53962198,5.8,5.89,7.0,27.0,66.0
4.2,20.7,59.3,54702186,54.2,4.77,13.0,51.0,36.0
1.2,6.1,127.8,55102204,16.4,6.24,10.0,37.0,52.0
2.8,12.1,358.8,55582216,26.0,7.5,34.0,44.0,22.0
1.9,13.7,152.4,55602208,24.9,5.83,18.0,37.0,46.0
2.0,22.2,48.2,55482182,20.1,5.33,13.0,40.0,47.0
4.7,8.2,84.1,54542164,46.3,5.6,10.0,50.0,40.0
4.0,10.3,270.8,53902242,31.1,7.29,47.0,47.0,6.0
3.0,10.2,178.3,54022258,40.2,6.17,10.0,37.0,53.0
1.9,11.2,142.3,53522226,17.3,5.75,13.0,44.0,42.0
2.3,6.4,56.8,53402272,16.0,5.49,24.0,59.0,18.0
0.5,23.8,66.7,54442242,4.2,4.88,13.0,21.0,66.0
3.1,6.2,143.5,53442258,27.5,4.92,17.0,54.0,29.0
3.0,8.4,216.2,54002152,37.4,4.98,11.0,44.0,45.0
3.4,9.8,53.6,54342240,35.2,4.59,10.0,42.0,48.0
3.0,8.2,101.0,54382232,38.4,4.98,15.0,42.0,43.0
5.1,6.9,405.1,54642274,62.2,7.48,24.0,58.0,17.0
2.1,7.0,72.3,53522222,22.9,5.76,19.0,55.0,25.0
2.1,7.1,181.9,54142248,20.0,5.68,16.0,45.0,39.0
3.2,45.0,132.6,55402176,34.3,4.42,19.0,41.0,41.0
4.0,14.9,94.2,55402194,63.0,4.26,12.0,40.0,48.0
3.5,13.1,89.1,55402180,38.6,4.55,14.0,45.0,41.0
2.0,20.8,372.0,55362180,16.7,5.53,11.0,37.0,52.0
6.1,10.6,286.1,55202170,55.7,5.4,29.0,62.0,9.0
3.3,18.6,282.8,55022182,58.9,4.96,10.0,35.0,55.0
5.0,19.5,179.3,55462186,55.6,5.0,13.0,44.0,43.0
1.0,40.0,116.3,55722292,8.8,5.29,15.0,27.0,58.0
1.4,5.6,169.7,55062178,17.8,5.15,10.0,25.0,65.0
1.0,6.6,87.4,55182202,10.8,4.75,12.0,25.0,63.0
2.3,32.4,261.5,55322204,22.3,7.49,18.0,38.0,44.0
1.4,12.1,85.6,55262206,13.4,6.01,,,
1.0,7.6,52.7,55062268,11.8,4.43,15.0,29.0,57.0
1.8,33.1,169.1,39543124,22.4,3.78,12.0,18.0,70.0
1.6,61.3,451.0,39483040,15.2,7.27,26.0,62.0,12.0
1.4,41.9,115.5,39883092,11.9,6.76,19.0,56.0,25.0
1.1,26.5,148.1,39763078,8.6,7.29,24.0,66.0,9.0
1.9,138.8,163.9,39963136,22.2,5.77,4.0,22.0,74.0
1.3,55.9,111.6,40083088,11.3,6.88,21.0,67.0,12.0
1.2,73.9,43.1,40163108,16.7,4.15,6.0,25.0,69.0
1.2,32.1,123.0,39423106,9.7,6.46,15.0,52.0,33.0
2.0,127.0,61.3,39683136,27.4,3.79,2.0,12.0,86.0
4.1,122.4,182.2,39903096,36.3,7.99,18.0,58.0,25.0
2.2,102.2,549.2,39763144,20.9,6.28,6.0,26.0,68.0
4.0,145.9,131.6,39883120,41.4,4.33,5.0,25.0,69.0
2.0,39.1,114.8,39803126,20.2,4.84,5.0,21.0,74.0
1.9,22.2,112.5,39783128,20.1,5.64,6.0,29.0,66.0
1.5,82.3,218.6,39443132,14.9,5.26,9.0,40.0,51.0
1.3,39.2,136.6,39023088,10.0,6.83,22.0,67.0,11.0
1.3,6.4,71.8,39363034,18.6,3.89,23.0,67.0,10.0
1.8,49.0,163.1,39123144,15.7,7.32,21.0,34.0,46.0
1.7,77.7,49.4,38803134,14.5,5.08,8.0,32.0,59.0
1.6,47.6,34.4,39743134,15.3,4.9,4.0,15.0,81.0
1.6,34.0,297.2,38983092,13.3,5.62,19.0,64.0,16.0
2.2,47.5,220.4,39523026,18.0,7.12,26.0,64.0,9.0
5.4,68.5,442.2,39583054,91.6,7.17,12.0,52.0,36.0
2.0,6.9,79.0,39583032,18.6,5.13,25.0,66.0,9.0
4.2,37.9,100.9,39283020,38.0,5.96,37.0,53.0,10.0
2.9,54.4,75.8,39563112,27.9,5.3,14.0,33.0,53.0
2.1,82.8,297.0,39703092,16.7,6.83,26.0,59.0,15.0
2.3,30.0,71.8,40163114,34.4,4.07,7.0,37.0,56.0
3.2,7.1,413.0,39623104,36.2,4.88,27.0,39.0,33.0
1.2,99.2,287.0,38803102,8.6,7.02,18.0,66.0,16.0
1.1,45.6,95.7,38883110,8.9,6.3,14.0,56.0,30.0
1.2,105.6,226.0,38743106,11.4,7.12,16.0,58.0,26.0
1.4,104.9,65.6,38883118,15.8,4.78,6.0,19.0,75.0
1.7,85.1,54.5,39063124,16.6,6.21,6.0,27.0,66.0
1.6,126.8,252.3,38903114,15.5,5.62,9.0,24.0,67.0
3.7,42.6,100.0,38943130,34.1,5.47,12.0,62.0,26.0
1.3,63.5,48.1,38703124,13.2,5.96,7.0,28.0,64.0
1.5,118.6,237.5,38743146,13.8,6.19,3.0,9.0,88.0
1.8,153.2,521.8,39743098,16.6,6.85,17.0,61.0,22.0
3.7,71.9,126.3,39942982,31.9,5.92,22.0,62.0,15.0
1.5,89.1,162.0,39603074,10.9,6.47,24.0,65.0,11.0
1.5,45.8,177.3,38643070,12.9,6.84,20.0,64.0,16.0
1.7,47.9,393.6,38583072,25.6,7.75,21.0,57.0,21.0
1.2,82.7,246.2,38563082,9.7,7.44,19.0,59.0,22.0
1.3,45.9,251.9,38723078,10.5,6.49,21.0,66.0,12.0
1.2,42.7,165.4,39083042,11.4,6.5,27.0,65.0,8.0
2.1,97.4,359.5,39303054,24.8,6.8,26.0,63.0,11.0
1.4,47.0,124.7,39283056,16.3,6.27,22.0,62.0,16.0
2.2,95.5,189.6,39263060,26.1,7.14,19.0,62.0,19.0
0.9,102.5,252.8,38283100,7.6,5.62,12.0,21.0,67.0
4.5,91.8,324.7,38363144,41.3,5.03,21.0,65.0,14.0
2.7,39.4,125.8,39123076,24.5,4.85,19.0,64.0,17.0
1.4,34.3,204.1,39223078,10.9,6.61,22.0,61.0,16.0
1.6,79.4,341.0,39423074,13.1,6.89,23.0,67.0,11.0
1.3,70.9,253.7,39583078,9.8,7.86,19.0,48.0,33.0
1.3,87.3,179.6,39563098,10.3,6.96,19.0,59.0,22.0
2.4,39.4,235.3,39802996,19.5,5.82,30.0,58.0,12.0
5.0,31.9,49.2,39862992,117.4,3.68,15.0,54.0,30.0
4.1,68.9,280.8,40043010,32.0,5.13,27.0,59.0,14.0
3.2,14.7,55.9,40082970,52.5,3.84,29.0,54.0,16.0
2.4,30.6,59.6,38943054,27.5,5.53,8.0,32.0,60.0
3.1,113.5,497.6,38163110,27.2,6.33,14.0,55.0,31.0
1.7,66.9,238.1,38723068,14.0,7.1,18.0,64.0,18.0
1.1,93.9,275.5,38463106,8.6,6.69,15.0,42.0,43.0
1.4,59.5,412.3,38843066,11.7,6.49,20.0,60.0,19.0
1.1,112.7,342.8,38403112,9.2,6.11,12.0,32.0,55.0
2.0,24.6,35.3,38483134,27.6,3.8,5.0,27.0,68.0
0.9,102.9,124.9,38483116,8.6,7.08,11.0,26.0,63.0
1.3,62.2,79.0,38523136,12.0,5.61,13.0,34.0,53.0
1.3,134.4,391.2,38383118,10.1,6.36,14.0,38.0,47.0
1.4,109.9,184.5,38383124,10.8,6.6,16.0,38.0,46.0
1.9,91.8,293.0,38083128,15.7,7.63,22.0,41.0,37.0
2.3,21.2,611.8,38203142,19.2,7.79,39.0,47.0,14.0
2.1,20.6,399.7,38223144,4.5,7.91,43.0,44.0,13.0
1.6,82.6,261.9,38443098,15.0,6.06,15.0,45.0,40.0
5.2,43.7,137.8,46722692,62.5,4.28,,,
4.7,14.7,135.4,46062628,80.8,6.1,9.0,46.0,44.0
3.4,19.2,113.8,46722638,29.5,5.02,12.0,55.0,32.0
4.3,34.3,186.9,46722642,31.4,4.76,6.0,44.0,50.0
4.4,29.3,123.2,46562646,33.0,5.29,16.0,62.0,23.0
1.1,34.0,690.5,46462644,7.9,6.5,11.0,52.0,37.0
1.6,68.7,70.9,46502658,21.4,5.49,17.0,52.0,32.0
3.1,24.0,38.4,46402652,30.4,4.22,7.0,53.0,40.0
4.6,6.9,154.1,46022620,73.1,6.81,9.0,46.0,44.0
3.9,12.9,155.6,46622648,40.8,5.15,21.0,54.0,25.0
2.7,53.9,45.1,46462636,20.2,6.28,8.0,45.0,47.0
7.2,14.9,297.8,46022632,103.2,5.08,10.0,52.0,38.0
2.9,41.8,199.7,46442642,25.5,4.33,9.0,48.0,43.0
14.3,17.9,220.0,45902624,303.6,6.4,6.0,40.0,54.0
7.9,30.5,142.0,46082638,146.3,4.27,8.0,43.0,49.0
5.7,22.9,121.4,46002652,76.7,4.26,8.0,51.0,41.0
4.6,7.1,53.2,45722614,77.3,4.52,13.0,54.0,33.0
18.4,102.6,546.5,45722612,329.8,4.56,5.0,25.0,70.0
4.5,43.8,100.6,46342650,56.0,4.44,14.0,51.0,36.0
7.8,39.0,163.3,46262660,127.3,4.42,8.0,40.0,52.0
9.6,68.4,172.3,46362660,167.8,3.9,9.0,46.0,45.0
3.9,26.1,147.8,46402674,31.9,5.34,13.0,42.0,46.0
8.4,34.2,209.5,45482646,173.2,4.17,6.0,34.0,59.0
16.3,70.2,284.0,47682754,368.3,6.85,5.0,31.0,63.0
2.1,9.8,224.0,45362696,25.2,5.05,24.0,45.0,31.0
2.4,5.2,18.1,45382662,27.6,5.27,9.0,44.0,47.0
2.1,5.5,46.9,45542648,21.5,5.04,9.0,39.0,51.0
3.3,16.2,147.0,45362642,45.1,4.54,6.0,32.0,62.0
11.4,16.4,362.5,46622750,156.3,6.3,16.0,49.0,35.0
4.8,21.7,133.9,46702650,62.0,6.17,6.0,43.0,51.0
7.9,9.1,60.6,46282726,105.4,5.15,10.0,45.0,45.0
3.5,10.2,81.7,45442740,41.9,5.15,21.0,54.0,25.0
2.0,48.2,144.2,46622642,16.8,6.93,21.0,47.0,33.0
3.1,42.0,186.8,47842680,25.6,5.1,25.0,63.0,12.0
3.0,14.5,53.2,46262642,36.6,4.26,16.0,41.0,43.0
10.2,36.8,169.8,47622754,190.2,6.47,15.0,43.0,42.0
3.3,54.2,85.9,47522746,34.8,5.01,12.0,44.0,44.0
17.2,67.9,452.4,47482742,328.5,4.24,4.0,28.0,68.0
15.9,36.2,267.4,47502772,334.7,6.42,6.0,27.0,67.0
6.7,13.1,203.7,47662760,71.5,6.61,24.0,58.0,18.0
9.4,12.4,322.5,47422758,129.7,7.15,20.0,50.0,31.0
3.7,5.5,46.8,47242764,109.8,7.19,17.0,62.0,21.0
2.8,76.6,137.8,46642626,24.6,6.68,13.0,42.0,45.0
3.8,6.0,113.0,46442606,42.8,5.13,26.0,54.0,20.0
2.8,19.6,111.6,46462834,30.6,5.81,10.0,33.0,57.0
3.0,8.4,61.8,45502702,28.6,5.48,16.0,51.0,33.0
6.1,24.9,62.9,47482734,141.3,6.9,7.0,47.0,46.0
4.7,38.6,65.9,47402716,70.4,4.54,8.0,54.0,38.0
4.1,66.1,45.1,47402738,51.2,4.42,10.0,56.0,33.0
6.3,17.8,58.2,47462746,128.7,3.85,16.0,43.0,42.0
7.4,32.7,70.4,47442738,143.2,3.61,9.0,53.0,37.0
7.2,22.6,49.1,47322744,103.3,7.12,13.0,58.0,29.0
3.6,10.5,60.5,47082630,64.2,4.27,9.0,48.0,43.0
6.0,24.0,106.4,46982660,100.4,4.02,9.0,53.0,38.0
4.8,15.1,89.4,46182646,42.4,5.27,13.0,44.0,42.0
6.0,29.3,108.9,47122662,99.0,3.8,10.0,53.0,37.0
8.6,43.0,112.1,47642728,139.1,3.87,6.0,49.0,45.0
2.9,92.6,24.2,45582696,30.3,7.36,18.0,55.0,27.0
2.5,10.6,141.3,45482700,31.4,5.35,20.0,52.0,27.0
6.9,87.8,146.9,45602672,111.3,3.65,4.0,33.0,63.0
4.1,20.8,32.6,45582678,57.1,4.82,10.0,57.0,33.0
5.0,11.5,75.9,45642684,52.4,4.37,17.0,60.0,23.0
4.9,24.1,102.5,45642688,56.5,4.59,14.0,70.0,15.0
4.1,43.7,197.2,45782694,40.2,5.78,11.0,60.0,29.0
4.7,7.5,142.8,45182728,61.1,5.53,37.0,49.0,14.0
4.5,33.5,129.3,46502720,63.1,4.2,6.0,38.0,55.0
4.4,14.0,72.7,47082660,44.0,4.75,9.0,51.0,40.0
3.5,29.3,70.7,47502700,29.5,5.94,12.0,58.0,30.0
3.9,10.3,94.7,47222676,33.0,5.58,19.0,52.0,29.0
6.5,16.1,90.7,47542736,121.6,3.75,7.0,41.0,53.0
6.1,24.2,64.6,47582744,159.0,7.09,9.0,62.0,29.0
5.1,32.4,99.2,46942670,91.8,5.22,8.0,49.0,43.0
5.4,20.3,68.1,47082664,116.2,3.83,7.0,35.0,59.0
6.1,5.5,77.7,46962676,62.7,6.0,11.0,56.0,33.0
3.2,5.4,24.5,47182690,39.9,7.47,18.0,55.0,26.0
6.9,23.0,76.0,47322694,138.6,3.95,14.0,53.0,32.0
4.2,19.4,141.9,47562732,39.6,4.62,10.0,61.0,29.0
5.2,11.5,53.2,47442702,43.9,5.55,16.0,59.0,25.0
6.7,20.1,123.7,47582730,53.4,7.16,12.0,58.0,30.0
5.4,74.5,93.8,47122698,82.5,4.0,10.0,52.0,39.0
4.1,16.4,32.6,47322712,122.6,7.04,9.0,44.0,46.0
3.8,20.8,59.7,47362708,61.5,3.71,18.0,51.0,31.0
4.0,5.5,58.4,47342710,61.5,5.28,26.0,50.0,24.0
3.9,20.9,50.7,47562710,61.7,4.13,12.0,47.0,41.0
5.5,22.7,74.0,47562706,101.2,3.7,13.0,56.0,31.0
2.8,14.5,43.5,47702722,57.9,3.93,13.0,46.0,41.0
3.6,16.2,60.1,47742728,58.8,4.01,11.0,50.0,40.0
2.9,16.1,53.0,47402730,22.6,5.61,26.0,60.0,14.0
3.9,14.6,78.2,46202640,58.7,4.23,15.0,46.0,39.0
5.5,33.7,117.8,47422704,46.9,5.22,11.0,57.0,32.0
5.0,17.3,230.3,46782664,95.4,4.51,8.0,39.0,53.0
2.0,4.4,58.0,46462682,24.6,5.16,16.0,51.0,33.0
3.7,19.2,117.4,46382686,35.0,6.85,7.0,40.0,54.0
6.4,26.1,159.7,46362688,98.0,4.5,7.0,47.0,46.0
4.0,10.7,138.6,46402688,36.0,7.18,13.0,53.0,35.0
5.1,18.0,220.8,46422690,88.8,4.55,9.0,45.0,46.0
6.3,40.2,213.6,46442692,105.2,4.28,7.0,44.0,49.0
3.4,31.0,83.6,46622720,29.2,4.1,10.0,66.0,24.0
3.0,23.8,133.7,47122706,25.4,4.98,6.0,41.0,53.0
5.2,29.0,151.7,46582666,44.8,5.38,9.0,57.0,33.0
2.8,12.7,111.0,46842660,43.6,4.54,10.0,44.0,46.0
3.0,14.3,87.1,46622668,27.9,6.6,15.0,53.0,32.0
6.7,19.9,306.5,46702674,106.4,5.35,9.0,48.0,44.0
4.5,13.9,182.2,46802674,82.2,4.25,8.0,43.0,49.0
9.4,42.4,235.1,45842658,150.9,4.61,7.0,43.0,50.0
4.4,15.7,86.8,45962662,40.0,5.44,14.0,58.0,28.0
3.8,12.1,43.4,45642656,47.0,4.5,8.0,44.0,48.0
3.5,15.8,65.8,46942692,55.0,4.16,13.0,49.0,38.0
4.7,30.0,166.5,45002638,83.3,4.74,9.0,48.0,43.0
4.3,12.4,91.2,45962708,54.1,7.08,21.0,61.0,18.0
5.8,25.9,89.2,46022704,88.6,4.17,8.0,51.0,42.0
5.1,14.2,124.4,46862694,108.3,3.82,8.0,42.0,50.0
4.3,20.1,140.7,46662682,62.5,4.07,9.0,46.0,46.0
6.6,32.5,148.9,46262696,87.2,5.02,4.0,35.0,61.0
2.5,4.9,70.6,46562722,31.5,4.84,15.0,50.0,36.0
4.8,43.0,276.8,46242712,86.4,3.75,11.0,63.0,26.0
3.9,18.6,809.2,46362702,43.1,4.67,5.0,41.0,54.0
3.2,15.6,388.0,46042706,24.9,5.2,13.0,65.0,22.0
4.8,24.0,283.6,46642712,76.1,4.4,12.0,63.0,25.0
3.5,14.8,239.7,46762716,49.3,4.25,12.0,49.0,39.0
3.0,17.0,81.0,46522674,26.2,4.5,15.0,61.0,24.0
7.1,47.9,452.3,46162668,112.1,4.24,5.0,35.0,59.0
6.2,49.5,110.9,45402624,95.1,4.47,6.0,46.0,48.0
3.3,19.4,234.8,46602700,26.0,4.9,10.0,49.0,41.0
3.0,22.2,812.0,46902702,36.6,4.58,11.0,51.0,37.0
6.3,28.1,224.9,46542702,67.0,4.36,8.0,51.0,41.0
7.5,32.2,234.7,46122678,131.6,4.29,10.0,51.0,38.0
4.3,15.6,174.8,46202682,64.5,4.52,9.0,48.0,43.0
3.7,25.7,128.7,47082720,37.3,4.88,9.0,58.0,33.0
15.9,63.1,411.3,47062718,308.3,3.98,7.0,44.0,49.0
5.5,25.3,175.8,46562692,96.3,4.52,8.0,37.0,55.0
5.9,19.6,189.2,46482688,97.6,4.53,10.0,58.0,32.0
9.9,49.3,343.5,46182666,142.7,4.36,5.0,38.0,57.0
10.2,25.9,173.5,43622690,135.9,6.05,21.0,59.0,19.0
5.5,11.0,87.2,43682658,47.2,6.86,18.0,61.0,21.0
4.2,54.7,44.0,43762672,40.3,4.95,10.0,52.0,38.0
6.1,22.1,66.1,43242668,70.6,4.28,8.0,52.0,40.0
4.6,12.7,67.4,44982658,68.8,5.46,5.0,36.0,59.0
5.6,18.6,137.9,42882682,63.3,7.0,19.0,65.0,16.0
2.0,12.3,183.3,43482660,19.7,6.97,9.0,39.0,52.0
6.9,31.5,228.4,43582664,146.2,4.13,8.0,39.0,52.0
7.4,31.1,71.7,43162652,108.2,4.63,6.0,30.0,65.0
4.3,16.4,88.9,45242636,89.2,3.9,11.0,55.0,33.0
16.5,78.4,75.2,43562686,328.0,4.41,6.0,31.0,63.0
11.7,45.3,140.0,43802702,161.7,6.96,13.0,58.0,29.0
5.4,17.9,172.1,43662688,163.9,7.04,9.0,59.0,32.0
10.6,15.4,122.4,43682686,153.1,6.78,21.0,58.0,21.0
4.5,16.2,44.8,44382670,34.3,7.1,13.0,60.0,27.0
3.0,11.5,40.5,44222658,30.1,4.27,11.0,51.0,38.0
4.3,22.7,168.4,43782660,80.1,4.34,7.0,38.0,55.0
7.1,26.7,276.3,43642710,89.9,4.21,21.0,53.0,25.0
19.6,95.9,598.4,44102696,388.3,4.25,2.0,16.0,82.0
1.7,6.0,30.3,44402664,20.5,4.76,9.0,42.0,48.0
13.0,36.1,424.0,43402682,259.9,6.22,10.0,46.0,44.0
7.2,13.8,201.1,45182714,157.5,6.97,9.0,41.0,50.0
5.9,19.4,152.5,45542620,52.1,4.97,15.0,62.0,22.0
4.5,23.9,150.9,46782690,33.7,5.03,13.0,55.0,32.0
8.8,28.0,137.7,46442684,194.9,3.89,7.0,40.0,53.0
8.5,32.9,175.1,46842692,153.9,4.38,8.0,32.0,61.0
5.8,48.4,132.2,46602676,73.3,4.8,5.0,34.0,60.0
3.4,39.3,78.2,46682698,30.5,4.48,5.0,38.0,57.0
5.0,52.1,133.7,46302682,79.2,4.54,7.0,45.0,48.0
8.3,32.3,197.8,46442702,124.9,4.16,8.0,45.0,47.0
4.2,25.6,61.9,46942710,54.3,4.34,14.0,53.0,33.0
3.6,7.2,54.0,43782700,39.4,5.77,38.0,53.0,10.0
10.0,30.0,172.8,46642736,140.1,3.88,16.0,59.0,25.0
5.3,35.0,147.2,44302680,46.9,4.69,14.0,62.0,24.0
6.2,64.8,93.5,44222668,64.7,7.0,10.0,56.0,33.0
3.4,9.6,32.9,44622708,58.1,7.18,9.0,46.0,44.0
7.2,58.6,190.4,44382684,140.8,6.68,8.0,45.0,47.0
4.0,9.4,67.5,44082690,77.9,5.54,16.0,56.0,28.0
8.0,24.4,206.6,43862700,120.6,6.98,20.0,53.0,27.0
4.2,16.9,85.0,43902682,47.9,4.95,10.0,45.0,45.0
5.5,15.8,127.0,45362624,73.4,5.74,8.0,41.0,51.0
3.7,16.7,67.8,46842710,31.2,4.57,12.0,62.0,26.0
21.9,82.3,163.7,45262728,385.5,5.33,3.0,21.0,77.0
6.3,24.9,45.0,46762666,123.7,4.34,9.0,44.0,47.0
5.6,23.2,50.3,43322692,71.5,4.13,17.0,61.0,22.0
11.0,8.9,47.9,43362694,128.0,6.22,13.0,57.0,30.0
2.7,6.8,83.8,43202710,31.1,5.28,17.0,49.0,33.0
4.4,13.3,68.4,43142682,67.8,4.23,20.0,40.0,40.0
3.7,20.9,80.8,42982692,29.4,5.46,19.0,62.0,19.0
3.9,23.9,96.2,46122668,62.6,4.41,7.0,39.0,53.0
4.8,35.8,20.9,46882668,87.9,4.15,9.0,39.0,52.0
4.1,21.0,70.5,44662698,58.0,4.4,11.0,58.0,31.0
20.3,93.9,100.0,44562702,399.2,4.61,1.0,14.0,85.0
10.3,66.2,100.2,46802648,194.6,3.83,7.0,40.0,53.0
9.1,49.0,33.6,46982642,129.6,4.28,6.0,41.0,53.0
4.4,26.3,151.1,47022632,56.3,4.58,9.0,48.0,43.0
6.9,29.1,33.6,47042630,100.3,4.63,8.0,47.0,45.0
7.3,35.2,45.4,47042658,124.6,3.91,8.0,50.0,42.0
3.1,10.6,29.0,46882664,30.9,5.53,10.0,50.0,40.0
1.9,42.0,95.6,46222770,13.8,5.68,27.0,45.0,28.0
2.4,11.5,168.7,46142762,18.4,5.09,23.0,55.0,22.0
5.6,44.1,46.3,46262786,80.6,3.88,18.0,63.0,19.0
5.4,29.7,30.7,47022650,95.7,4.32,9.0,49.0,43.0
5.1,15.9,81.6,45022700,70.7,4.18,20.0,52.0,28.0
2.5,8.4,103.6,45122710,25.0,5.96,20.0,57.0,23.0
2.7,6.8,108.1,45202708,42.3,4.61,12.0,52.0,35.0
3.0,7.6,247.9,45922694,31.5,6.58,12.0,61.0,27.0
15.4,39.7,217.2,46042680,174.4,5.04,7.0,52.0,41.0
2.9,8.5,173.5,46082678,52.0,4.2,17.0,56.0,27.0
5.2,19.7,120.8,45222700,90.7,3.73,14.0,44.0,42.0
2.8,20.7,77.9,45102688,26.5,5.17,7.0,59.0,34.0
2.2,8.4,82.2,45102684,18.0,4.96,6.0,59.0,34.0
6.9,102.5,79.1,44522672,127.4,4.29,5.0,43.0,52.0
6.0,24.3,177.5,45042696,63.6,4.36,16.0,54.0,30.0
4.7,21.4,69.3,47322736,57.6,4.83,14.0,52.0,35.0
5.1,12.9,47.9,45062720,37.6,5.18,29.0,62.0,9.0
7.0,19.0,60.1,44962698,84.5,4.6,11.0,49.0,40.0
3.8,14.4,81.9,44982708,29.9,5.84,15.0,50.0,36.0
4.7,8.2,75.3,44882726,38.2,6.2,14.0,56.0,30.0
3.6,9.8,160.8,44862714,32.6,5.79,15.0,52.0,33.0
3.3,9.8,81.3,44942712,44.4,4.29,11.0,35.0,54.0
5.3,14.6,181.2,44822704,72.2,4.51,5.0,26.0,69.0
5.6,8.8,162.9,44782720,116.8,6.71,14.0,54.0,32.0
0.9,5.6,20.0,45102682,10.3,6.0,3.0,23.0,73.0
4.1,13.0,182.5,47042780,36.5,5.16,30.0,57.0,13.0
4.7,24.1,111.3,46342722,37.3,6.1,14.0,65.0,21.0
5.3,11.3,85.0,47082754,115.1,7.34,8.0,54.0,38.0
2.4,69.7,146.5,47202790,17.9,6.15,31.0,57.0,12.0
1.4,8.4,49.8,47662810,13.6,8.02,31.0,55.0,14.0
1.6,60.7,331.1,47522858,15.7,8.0,16.0,34.0,50.0
8.5,39.4,292.8,45782734,78.1,5.54,18.0,48.0,34.0
3.5,27.0,75.1,47202740,52.1,4.13,17.0,50.0,33.0
14.6,41.9,99.8,46462726,277.0,3.79,9.0,50.0,41.0
15.8,13.9,150.8,47042738,255.2,6.86,8.0,36.0,56.0
7.7,34.7,69.6,33883766,103.1,4.21,,,
18.5,159.4,176.5,35223528,484.8,4.06,,,
0.8,20.8,7.9,35363916,17.9,3.98,,,
13.7,48.8,136.7,35223898,399.7,3.86,,,
3.6,51.6,298.6,36863152,35.8,5.79,,,
4.6,47.7,117.9,35123594,56.5,4.25,,,
4.1,66.3,124.1,35983896,55.9,5.17,,,
5.1,37.3,51.4,35223880,110.4,3.86,,,
16.1,33.4,45.4,33903752,244.7,4.34,,,
13.0,99.8,402.6,35003502,176.9,4.35,,,
14.3,127.5,423.0,34923712,200.4,4.84,,,
11.4,44.1,457.9,35083842,277.5,4.16,,,
6.0,30.7,252.6,35343508,67.2,4.31,,,
7.8,31.6,93.5,33823392,96.3,4.05,,,
23.3,101.1,271.6,35203908,419.6,3.96,,,
18.3,103.5,670.1,36123538,464.6,4.13,,,
9.4,130.4,281.0,35823214,78.6,6.99,,,
3.1,45.1,245.7,35703598,41.7,6.44,,,
23.0,83.0,450.5,35523594,463.6,4.09,,,
8.5,42.0,93.5,35343590,131.8,4.42,,,
24.3,41.3,94.1,33983652,368.3,4.68,,,
8.0,127.0,478.0,34943504,86.5,4.44,,,
4.3,53.5,104.6,35603850,89.2,4.04,,,
9.8,40.0,195.8,35383866,128.8,4.11,,,
15.4,87.4,329.2,33543738,382.7,4.21,,,
12.2,37.2,201.7,33503744,244.7,4.55,,,
8.4,68.3,106.7,34843782,138.9,3.73,,,
15.7,74.7,409.7,33903630,483.2,4.38,,,
17.3,123.2,423.9,34923766,198.9,4.26,,,
14.4,105.6,175.1,33863294,213.9,4.63,,,
9.2,78.5,245.5,36983250,164.1,4.23,,,
24.2,56.6,394.4,35684018,363.8,5.09,,,
17.5,34.3,179.6,33503932,267.2,4.06,,,
3.0,16.8,40.7,35903214,58.0,4.02,,,
7.1,166.2,504.7,35883612,122.4,5.14,,,
17.9,67.5,202.4,33863630,237.9,4.84,,,
12.6,75.8,414.4,32743680,193.4,5.42,,,
10.0,47.5,126.6,35423440,164.8,3.82,,,
6.0,56.9,93.0,35803230,105.4,4.06,,,
24.3,113.8,437.8,33643198,464.5,4.32,,,
15.1,135.3,721.0,33063160,168.2,4.89,,,
24.8,108.4,488.9,33443148,402.7,4.41,,,
12.5,58.6,183.8,34383700,219.8,4.33,,,
11.2,78.2,345.2,35563854,132.5,5.41,,,
9.9,69.3,157.7,32323650,156.3,4.0,,,
14.1,74.0,133.5,32243654,174.9,4.52,,,
10.1,43.5,161.8,33023682,99.9,4.4,,,
6.7,44.9,467.3,32563608,97.3,5.56,,,
19.6,141.7,211.4,35403550,460.0,3.97,,,
24.3,167.0,390.2,34623626,513.8,4.63,,,
4.7,28.8,43.1,33883802,60.5,4.56,,,
3.3,25.2,85.6,34703350,26.4,4.64,,,
