N,P,K,PointID,OC,pH,Clay,Silt,Sand
4.3,25.8,121.7,33903796,36.1,4.17,9.0,51.0,41.0
2.8,39.1,163.2,36303178,26.3,6.71,28.0,51.0,22.0
9.0,37.6,216.5,33323140,103.8,4.27,13.0,59.0,28.0
2.1,15.3,77.4,36063490,19.7,6.56,23.0,37.0,40.0
2.5,51.5,245.1,35843900,23.8,5.61,25.0,49.0,26.0
10.7,97.9,467.6,35303698,138.9,4.18,9.0,43.0,48.0
5.7,18.1,151.7,35103682,69.5,5.25,18.0,57.0,25.0
6.2,60.9,229.5,35443698,88.7,4.14,12.0,50.0,38.0
13.1,52.2,156.0,34843674,197.7,3.92,6.0,22.0,73.0
4.3,14.0,130.0,35123644,45.1,5.07,14.0,49.0,37.0
4.9,88.6,253.1,34223734,47.6,4.52,11.0,43.0,46.0
11.0,45.4,409.9,34303740,109.4,3.8,15.0,56.0,29.0
5.3,61.4,366.6,35123294,52.7,6.73,30.0,57.0,13.0
6.1,20.1,153.6,34663776,119.1,4.0,13.0,46.0,42.0
3.2,25.7,519.0,36203366,22.9,7.47,39.0,38.0,23.0
1.9,22.7,189.2,37063284,15.3,7.38,23.0,28.0,48.0
22.8,161.5,391.6,31623628,465.9,4.35,3.0,16.0,81.0
3.8,10.2,63.2,31823598,36.0,6.64,22.0,57.0,21.0
4.1,18.9,73.6,31983592,35.8,4.83,26.0,57.0,17.0
3.7,77.0,300.2,33443404,30.7,5.44,14.0,52.0,34.0
1.8,31.6,51.5,34903644,16.8,5.07,14.0,41.0,45.0
4.6,82.5,78.7,34863646,71.4,4.3,11.0,37.0,52.0
5.5,27.1,75.4,34543626,78.0,4.1,10.0,50.0,39.0
4.2,26.8,252.0,33403116,35.2,4.72,22.0,52.0,26.0
5.9,41.6,228.0,34663624,120.9,3.95,6.0,36.0,58.0
2.6,24.0,106.8,34943428,29.0,4.75,16.0,44.0,41.0
4.5,38.7,143.8,34703778,48.3,4.87,13.0,52.0,35.0
2.4,21.1,96.0,34943770,21.3,5.27,19.0,46.0,35.0
4.4,13.1,147.8,34403798,48.9,4.64,5.0,57.0,38.0
5.8,27.0,150.3,34443796,60.8,4.09,8.0,58.0,33.0
2.7,70.2,294.6,34803774,25.7,5.4,21.0,47.0,31.0
11.4,22.8,190.6,34883760,130.1,4.69,11.0,50.0,38.0
1.5,12.1,35.6,34403792,20.4,4.82,9.0,42.0,49.0
14.7,89.6,185.1,34803896,441.5,4.13,5.0,35.0,60.0
7.3,43.1,130.1,34163616,71.0,5.74,14.0,57.0,28.0
1.3,8.1,15.7,33943818,15.0,4.85,4.0,26.0,71.0
7.5,66.9,180.3,33143144,82.4,4.73,15.0,62.0,23.0
4.5,57.8,259.4,32543130,42.4,4.55,24.0,52.0,24.0
7.4,79.5,270.4,32323116,94.7,3.84,11.0,48.0,41.0
5.9,51.7,199.6,32783150,53.8,6.47,18.0,51.0,31.0
6.7,66.7,99.4,33183158,55.9,4.33,22.0,59.0,20.0
5.0,13.1,149.8,33303172,51.9,5.24,24.0,56.0,20.0
7.4,132.9,729.4,33223152,67.4,5.77,17.0,61.0,21.0
6.0,29.4,112.7,33843772,70.8,3.74,14.0,54.0,31.0
